I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Introductory  adj. Serving as an introduction; preliminary.

Introit  n. Psalm or antiphon sung or said as the priest approaches the altar for the eucharist. [latin introitus entrance]

Introspection  n. Examination of one's own thoughts.  introspective adj. [latin specio spect- look]

Introvert  —n. 1 person predominantly concerned with his or her own thoughts. 2 shy thoughtful person. —adj. (also introverted) characteristic of an introvert.  introversion n.

Intrude  v. (-ding) (foll. By on, upon, into) 1 come uninvited or unwanted. 2 force on a person. [latin trudo trus- thrust]

Intruder  n. Person who intrudes, esp. A trespasser.

Intrusion  n. 1 intruding. 2 influx of molten rock between existing strata etc.  intrusive adj.

Intrust  var. Of *entrust.

Intuition  n. Immediate insight or understanding without conscious reasoning.  intuit v. Intuitional adj. [latin tueor tuit- look]

Intuitive  adj. Of, possessing, or perceived by intuition.  intuitively adv. Intuitiveness n. [medieval latin: related to *intuition]

Inuit  n. (also innuit) (pl. Same or -s) n. American eskimo. [eskimo inuit people]

Inundate  v. (-ting) (often foll. By with) 1 flood. 2 overwhelm.  inundation n. [latin unda wave]

Inure  v. (-ring) 1 (often in passive; foll. By to) accustom (a person) to an esp. Unpleasant thing. 2 law take effect.  inurement n. [anglo-french: related to *in, eure work, from latin opera]

Invade  v. (-ding) (often absol.) 1 enter (a country etc.) Under arms to control or subdue it. 2 swarm into. 3 (of a disease) attack. 4 encroach upon (a person's rights, esp. Privacy).  invader n. [latin vado vas- go]

Invalid1  —n. Person enfeebled or disabled by illness or injury. —attrib. Adj. 1 of or for invalids. 2 sick, disabled. —v. (-d-) 1 (often foll. By out etc.) Remove (an invalid) from active service. 2 (usu. In passive) disable (a person) by illness.  invalidism n. Invalidityn. [latin: related to *in-1]

Invalid2  adj. Not valid.  invalidity n.

Invalidate  v. (-ting) make (a claim etc.) Invalid.  invalidation n.

Invaluable  adj. Above valuation; very valuable.  invaluably adv.

Invariable  adj. 1 unchangeable. 2 always the same. 3 math. Constant.  invariably adv.

Invasion  n. Invading or being invaded.

Invasive  adj. 1 (of weeds, cancer cells, etc.) Tending to spread. 2 (of surgery) involving large incisions etc. 3 tending to encroach.

Invective  n. Strong verbal attack. [latin: related to *inveigh]

Inveigh  v. (foll. By against) speak or write with strong hostility. [latin invehor -vect- assail]

Inveigle  v. (-ling) (foll. By into, or to + infin.) Entice; persuade by guile.  inveiglement n. [anglo-french from french aveugler to blind]

Invent  v. 1 create by thought, originate (a method, device, etc.). 2 concoct (a false story etc.).  inventor n. [latin invenio -vent- find]

Invention  n. 1 inventing or being invented. 2 thing invented. 3 fictitious story. 4 inventiveness.

Inventive  adj. Able to invent; imaginative.  inventively adv. Inventiveness n.

Inventory  —n. (pl. -ies) 1 complete list of goods etc. 2 goods listed in this. —v. (-ies, -ied) 1 make an inventory of. 2 enter (goods) in an inventory. [medieval latin: related to *invent]
Inverse  —adj. Inverted in position, order, or relation. —n. 1 inverted state. 2 (often foll. By of) the direct opposite. [latin: related to *invert]

Inverse proportion  n. (also inverse ratio) relation between two quantities such that one increases in proportion as the other decreases.

Inversion  n. 1 turning upside down. 2 reversal of a normal order, position, or relation.

Invert  v. 1 turn upside down. 2 reverse the position, order, or relation of. [latin verto vers- turn]

Invertebrate  —adj. (of an animal) not having a backbone. —n. Invertebrate animal.

Inverted commas  n.pl. = *quotation marks.

Invest  v. 1 a (often foll. By in) apply or use (money), esp. For profit. B (foll. By in) put money for profit into (stocks etc.). 2 (often foll. By in) devote (time etc.) To an enterprise. 3 (foll. By in) colloq. Buy (something useful). 4 a (foll. By with) provide or credit (a person etc. With qualities) (invested her with magical importance; invested his tone with irony). B (foll. By in) attribute or entrust (qualities or feelings) to (a person etc.) (power invested in the doctor). 5 (often foll. By with, in) clothe with the insignia of office; install in an office.  investor n. [latin vestis clothing]

Investigate  v. (-ting) 1 inquire into; examine. 2 make a systematic inquiry.  investigation n. Investigative adj. Investigator n. Investigatory adj. [latin vestigo track]

Investiture  n. Formal investing of a person with honours or rank. [medieval latin: related to *invest]

Investment  n. 1 investing. 2 money invested. 3 property etc. In which money is invested.

Investment trust  n. Trust that buys and sells shares in selected companies to make a profit for its members.

Inveterate  adj. 1 (of a person) confirmed in a habit etc. 2 (of a habit etc.) Long-established.  inveteracy n. [latin vetus old]

Invidious  adj. Likely to cause resentment or anger (invidious position; invidious task). [latin invidiosus: related to *envy]

Invigilate  v. (-ting) supervise people taking an exam.  invigilation n. Invigilator n. [latin: related to *vigil]

Invigorate  v. (-ting) give vigour or strength to.  invigorating adj. [medieval latin: related to *vigour]

Invincible  adj. Unconquerable.  invincibility n. Invincibly adv. [latin vinco conquer]

Inviolable  adj. Not to be violated or dishonoured.  inviolability n. Inviolably adv.

Inviolate  adj. 1 not violated. 2 safe (from violation or harm).  inviolacy n.

Invisible  adj. Not visible to the eye.  invisibility n. Invisibly adv.

Invisible exports  n.pl. (also invisible imports etc.) Intangible commodities, esp. Services, involving payment between countries.

Invitation  n. 1 inviting or being invited. 2 letter or card etc. Used to invite.

Invite  —v. (-ting) 1 (often foll. By to, or to + infin.) Ask (a person) courteously to come, or to do something. 2 make a formal courteous request for. 3 tend to call forth unintentionally. 4 a attract. B be attractive. —n. Colloq. Invitation. [latin invito]

Inviting  adj. 1 attractive. 2 tempting.  invitingly adv.

In vitro  adv. (of biological processes) taking place in a test-tube or other laboratory environment. [latin, = in glass]

Invocation  n. 1 invoking or being invoked, esp. In prayer. 2 summoning of supernatural beings, e.g. The muses, for inspiration. 3 eccl. The words ‘in the name of the father’ etc. Used to preface a sermon etc.  invocatory adj. [latin: related to *invoke] 

Invoice  —n. Bill for usu. Itemized goods or services. —v. (-cing) 1 send an invoice to. 2 make an invoice of. [earlier invoyes pl. Of invoy: related to *envoy]
Invoke  v. (-king) 1 call on (a deity etc.) In prayer or as a witness. 2 appeal to (the law, a person's authority, etc.). 3 summon (a spirit) by charms etc. 4 ask earnestly for (vengeance etc.). [latin voco call]

Involuntary  adj. 1 done without exercising the will; unintentional. 2 (of a muscle) not under the control of the will.  involuntarily adv. Involuntariness n.

Involute  adj. 1 involved, intricate. 2 curled spirally. [latin: related to *involve]

Involuted  adj. Complicated, abstruse.

Involution  n. 1 involving. 2 intricacy. 3 curling inwards. 4 part that curls inwards.

Involve  v. (-ving) 1 (often foll. By in) cause (a person or thing) to share the experience or effect (of a situation, activity, etc.). 2 imply, entail, make necessary. 3 (often foll. By in) implicate (a person) in a charge, crime, etc. 4 include or affect in its operations. 5 (as involved adj.) A (often foll. By in) concerned. B complicated in thought or form. C amorously associated.  involvement n. [latin volvo roll]

Invulnerable  adj. That cannot be wounded, damaged, or hurt, physically or mentally.  invulnerability n. Invulnerably adv.

Inward  —adj. 1 directed towards the inside; going in. 2 situated within. 3 mental, spiritual. —adv. (also inwards) 1 towards the inside. 2 in the mind or soul. [old english: related to *in, *-ward]

Inwardly  adv. 1 on the inside. 2 in the mind or soul. 3 not aloud.

Inwrought  adj. 1 (often foll. By with) (of a fabric) decorated (with a pattern). 2 (often foll. By in, on) (of a pattern) wrought (in or on a fabric).

Iodide  n. Any compound of iodine with another element or group.

Iodine  n. 1 black crystalline element forming a violet vapour. 2 solution of this as an antiseptic. [french iode from greek iodes violet-like]

Iom  abbr. Isle of man.

Ion  n. Atom or group of atoms that has lost one or more electrons (= *cation), or gained one or more electrons (= *anion). [greek, = going]

-ion  suffix (usu. As -sion, -tion, -xion) forming nouns denoting: 1 verbal action (excision). 2 instance of this (a suggestion). 3 resulting state or product (vexation; concoction). [latin -io]

Ionic  adj. Of the order of greek architecture characterized by a column with scroll-shapes on either side of the capital. [from ionia in greek asia minor]

Ionic  adj. Of or using ions.  ionically adv.

Ionize  v. (also -ise) (-zing or -sing) convert or be converted into an ion or ions.  ionization n.

Ionizer  n. Device producing ions to improve the quality of the air.

Ionosphere  n. Ionized region of the atmosphere above the stratosphere, reflecting radio waves.  ionospheric adj.

Iota  n. 1 ninth letter of the greek alphabet (i, i). 2 (usu. With neg.) A jot. [greek iota]

Iou  n. Signed document acknowledging a debt. [from i owe you]

Iow  abbr. Isle of wight.

Ipa  abbr. International phonetic alphabet.

Ipecacuanha  n. Root of a s. American shrub, used as an emetic and purgative. [portuguese from s. American indian, = emetic creeper]

Ipso facto  adv. By that very fact. [latin]

Iq  abbr. Intelligence quotient.

Ir-  prefix assim. Form of *in-1, *in-2 before r.

Ira  abbr. Irish republican army.

Iranian  —adj. 1 of iran (formerly persia). 2 of the group of languages including persian. —n. 1 native or national of iran. 2 person of iranian descent.

Iraqi  —adj. Of iraq. —n. (pl. -s) 1 a native or national of iraq. B person of iraqi descent. 2 the form of arabic spoken in iraq.

Irascible  adj. Irritable; hot-tempered.  irascibility n. Irascibly adv. [latin irascor grow angry, from ira anger]

Irate  adj. Angry, enraged.  irately adv. Irateness n. [latin iratus from ira anger]

Ire  n. Literary anger. [latin ira]

Iridaceous  adj. Of the iris family of plants.
Iridescent  adj. 1 showing rainbow-like luminous colours. 2 changing colour with position.  iridescence n.

Iridium  n. Hard white metallic element of the platinum group.

Iris  n. 1 circular coloured membrane behind the cornea of the eye, with a circular opening (pupil) in the centre. 2 plant of a family with bulbs or tuberous roots, sword-shaped leaves, and showy flowers. 3 adjustable diaphragm for regulating the size of a central hole, esp. For the admission of light to a lens. [greek iris iridos rainbow]

Irish  —adj. Of ireland or its people. —n. 1 celtic language of ireland. 2 (prec. By the; treated as pl.) The people of ireland. [old english]

Irish bull  n. = *bull3.

Irish coffee  n. Coffee with a dash of whiskey and a little sugar, topped with cream.

Irishman  n. Man who is irish by birth or descent.

Irish stew  n. Stew of mutton, potato, and onion.

Irishwoman  n. Woman who is irish by birth or descent.

Irk  v. Irritate, bore, annoy. [origin unknown]

Irksome  adj. Annoying, tiresome.  irksomely adv.

Iron  —n. 1 grey metallic element used for tools and constructions and found in some foods, e.g. Spinach. 2 this as a symbol of strength or firmness (man of iron; iron will). 3 tool made of iron. 4 implement with a flat base which is heated to smooth clothes etc. 5 golf club with an iron or steel sloping face. 6 (usu. In pl.) Fetter. 7 (usu. In pl.) Stirrup. 8 (often in pl.) Iron support for a malformed leg. —adj. 1 made of iron. 2 very robust. 3 unyielding, merciless. —v. Smooth (clothes etc.) With an iron.  iron out remove (difficulties etc.). [old english]

Iron age  n. Period when iron replaced bronze in the making of tools and weapons.

Ironclad  —adj. 1 clad or protected with iron. 2 impregnable. —n. Hist. Warship protected by iron plates.

Iron cross  n. German military decoration.

Iron curtain  n. Hist. Former notional barrier to the passage of people and information between the soviet bloc and the west.

Ironic  adj. (also ironical) using or displaying irony.  ironically adv.

Ironing  n. Clothes etc. For ironing or just ironed.

Ironing-board  n. Narrow folding table on which clothes etc. Are ironed.

Iron in the fire  n. Undertaking, opportunity (usu. In pl.: too many irons in the fire).

Iron lung  n. Rigid case fitted over a patient's body for administering prolonged artificial respiration.

Ironmaster  n. Manufacturer of iron.

Ironmonger  n. Dealer in hardware etc.  ironmongery n. (pl. -ies).

Iron rations  n.pl. Small emergency supply of food.

Ironstone  n. 1 rock containing much iron. 2 a kind of hard white pottery.

Ironware  n. Articles made of iron.

Ironwork  n. 1 things made of iron. 2 work in iron.

Ironworks  n. (as sing. Or pl.) Factory where iron is smelted or iron goods are made.

Irony  n. (pl. -ies) 1 expression of meaning, often humorous or sarcastic, using language of a different or opposite tendency. 2 apparent perversity of an event or circumstance in reversing human intentions. 3 theatr. Use of language with one meaning for a privileged audience and another for those addressed or concerned. [greek eironeia pretended ignorance]

Irradiate  v. (-ting) 1 subject to radiation. 2 shine upon; light up. 3 throw light on (a subject).  irradiation n. [latin irradio shine on, from radius ray]

Irrational  adj. 1 illogical; unreasonable. 2 not endowed with reason. 3 math. Not commensurate with the natural numbers.  irrationality n. Irrationally adv.

Irreconcilable  adj. 1 implacably hostile. 2 (of ideas etc.) Incompatible.  irreconcilability n. Irreconcilably adv.

Irrecoverable  adj. Not able to be recovered or remedied.  irrecoverably adv.

Irredeemable  adj. 1 not able to be redeemed. 2 hopeless.  irredeemably adv.
Irredentist  n. Person advocating the restoration to his or her country of any territory formerly belonging to it.  irredentism n. [italian irredenta unredeemed]

Irreducible  adj. Not able to be reduced or simplified.  irreducibility n. Irreducibly adv.

Irrefutable  adj. That cannot be refuted.  irrefutably adv.

Irregular  —adj. 1 not regular; unsymmetrical, uneven; varying in form. 2 not occurring at regular intervals. 3 contrary to a rule, principle, or custom; abnormal. 4 (of troops) not belonging to the regular army. 5 (of a verb, noun, etc.) Not inflected according to the usual rules. 6 disorderly. —n. (in pl.) Irregular troops.  irregularity n. (pl. -ies). Irregularly adv.

Irrelevant  adj. (often foll. By to) not relevant.  irrelevance n. Irrelevancy n. (pl. -ies).

Irreligious  adj. Lacking or hostile to religion; irreverent.

Irremediable  adj. That cannot be remedied.  irremediably adv.

Irremovable  adj. That cannot be removed.  irremovably adv.

Irreparable  adj. (of an injury, loss, etc.) That cannot be rectified or made good.  irreparably adv.

Irreplaceable  adj. That cannot be replaced.

Irrepressible  adj. That cannot be repressed or restrained.  irrepressibly adv.

Irreproachable  adj. Faultless, blameless.  irreproachably adv.

Irresistible  adj. Too strong, delightful, or convincing to be resisted.  irresistibly adv.

Irresolute  adj. 1 hesitant. 2 lacking in resoluteness.  irresolutely adv. Irresoluteness n. Irresolution n.

Irrespective  adj. (foll. By of) not taking into account; regardless of.

Irresponsible  adj. 1 acting or done without due sense of responsibility. 2 not responsible for one's conduct.  irresponsibility n. Irresponsibly adv.

Irretrievable  adj. That cannot be retrieved or restored.  irretrievably adv.

Irreverent  adj. Lacking reverence.  irreverence n. Irreverently adv.

Irreversible  adj. Not reversible or alterable.  irreversibly adv.

Irrevocable  adj. 1 unalterable. 2 gone beyond recall.  irrevocably adv.

Irrigate  v. (-ting) 1 a water (land) by means of channels etc. B (of a stream etc.) Supply (land) with water. 2 supply (a wound etc.) With a constant flow of liquid.  irrigable adj. Irrigation n. Irrigator n. [latin rigo moisten]

Irritable  adj. 1 easily annoyed. 2 (of an organ etc.) Very sensitive to contact.  irritability n. Irritably adv. [latin: related to *irritate]

Irritant  —adj. Causing irritation. —n. Irritant substance.

Irritate  v. (-ting) 1 excite to anger; annoy. 2 stimulate discomfort in (a part of the body). 3 biol. Stimulate (an organ) to action.  irritating adj. Irritation n. Irritative adj. [latin irrito]

Irrupt  v. (foll. By into) enter forcibly or violently.  irruption n. [latin: related to *rupture]

Is  3rd sing. Present of *be.

Isbn  abbr. International standard book number.

-ise  var. Of *-ize.

Usage  see note at -ize.

-ish  suffix forming adjectives: 1 from nouns, meaning: a having the qualities of (boyish). B of the nationality of (danish). 2 from adjectives, meaning ‘somewhat’ (thickish). 3 colloq. Denoting an approximate age or time of day (fortyish; six-thirtyish). [old english]

Isinglass  n. 1 gelatin obtained from fish, esp. Sturgeon, and used in making jellies, glue, etc. 2 mica. [dutch huisenblas sturgeon's bladder]

Islam  n. 1 the religion of the muslims, proclaimed by muhammad. 2 the muslim world.  islamic adj. [arabic, = submission (to god)]

Island  n. 1 piece of land surrounded by water. 2 = *traffic island. 3 detached or isolated thing. [old english igland; first syllable influenced by *isle]

Islander  n. Native or inhabitant of an island.

Isle  n. Poet. (and in place-names) island, esp. A small one. [french ile from latin insula]

Islet  n. 1 small island. 2 anat. Structurally distinct portion of tissue. [french diminutive of *isle]
Ism  n. Colloq. Usu. Derog. Any distinctive doctrine or practice. [from *-ism]

-ism  suffix forming nouns, esp. Denoting: 1 action or its result (baptism; organism). 2 system or principle (conservatism; jingoism). 3 state or quality (heroism; barbarism). 4 basis of prejudice or discrimination (racism; sexism). 5 peculiarity in language (americanism). [greek -ismos]

Isn't  contr. Is not.

Iso-  comb. Form equal. [greek isos equal]

Isobar  n. Line on a map connecting places with the same atmospheric pressure.  isobaric adj. [greek baros weight]

Isochronous  adj. 1 occurring at the same time. 2 occupying equal time.

Isolate  v. (-ting) 1 a place apart or alone. B place (a contagious or infectious patient etc.) In quarantine. 2 separate (a substance) from a mixture. 3 insulate (electrical apparatus), esp. By a physical gap; disconnect.  isolation n. [latin insulatus made into an island]

Isolationism  n. Policy of holding aloof from the affairs of other countries or groups.  isolationist n.

Isomer  n. One of two or more compounds with the same molecular formula but a different arrangement of atoms.  isomeric adj. Isomerism n. [greek *iso-, meros share]

Isometric  adj. 1 of equal measure. 2 (of muscle action) developing tension while the muscle is prevented from contracting. 3 (of a drawing etc.) With the plane of projection at equal angles to the three principal axes of the object shown. [greek isometria equality of measure]

Isomorphic  adj. (also isomorphous) exactly corresponding in form and relations. [from *iso-, greek morphe form]

Isosceles  adj. (of a triangle) having two sides equal. [from *iso-, greek skelos leg]

Isotherm  n. Line on a map connecting places with the same temperature.  isothermal adj. [from *iso-, greek therme heat]

Isotope  n. One of two or more forms of an element differing from each other in relative atomic mass, and in nuclear but not chemical properties.  isotopic adj. [from *iso-, greek topos place]

Isotropic  adj. Having the same physical properties in all directions.  isotropy n. [from *iso-, greek tropos turn]

Israeli  —adj. Of the modern state of israel. —n. (pl. -s) 1 native or national of israel. 2 person of israeli descent. [hebrew]

Israelite  n. Hist. Native of ancient israel; jew. [hebrew]

Issue  —n. 1 a act of giving out or circulating shares, notes, stamps, etc. B quantity of coins, copies of a newspaper, etc., circulated at one time. C each of a regular series of a magazine etc. (the may issue). 2 a outgoing, outflow. B way out, outlet, esp. The place of the emergence of a stream etc. 3 point in question; important subject of debate or litigation. 4 result; outcome. 5 law children, progeny (without male issue). —v. (issues, issued, issuing) 1 literary go or come out. 2 a send forth; publish; put into circulation. B supply, esp. Officially or authoritatively (foll. By to, with: issued passports to them; issued them with passports). 3 a (often foll. By from) be derived or result. B (foll. By in) end, result. 4 (foll. By from) emerge from a condition.  at issue under discussion; in dispute. Join (or take) issue (foll. By with a person etc., about, on, over a subject) disagree or argue. [latin exitus: related to *exit]

-ist  suffix forming personal nouns denoting: 1 adherent of a system etc. In -ism: (marxist; fatalist). 2 person pursuing, using, or concerned with something as an interest or profession (balloonist; tobacconist). 3 person who does something expressed by a verb in -ize (plagiarist). 4 person who subscribes to a prejudice or practises discrimination (racist; sexist). [greek -istes]

Isthmus  n. (pl. -es) narrow piece of land connecting two larger bodies of land. [greek isthmos]

It  abbr. Information technology.
It  pron. (poss. Its; pl. They) 1 thing (or occasionally an animal or child) previously named or in question (took a stone and threw it). 2 person in question (who is it? It is i). 3 as the subject of an impersonal verb (it is raining; it is winter; it is two miles to bath). 4 as a substitute for a deferred subject or object (it is silly to talk like that; i take it that you agree). 5 as a substitute for a vague object (brazen it out). 6 as the antecedent to a relative word or clause (it was an owl that i heard). 7 exactly what is needed. 8 extreme limit of achievement. 9 colloq. A sexual intercourse. B sex appeal. 10 (in children's games) player who has to perform a required feat.  that's it colloq. That is: 1 what is required. 2 the difficulty. 3 the end, enough. [old english]

Italian  —n. 1 a native or national of italy. B person of italian descent. 2 romance language of italy. —adj. Of or relating to italy.

Italianate  adj. Of italian style or appearance.

Italian vermouth  n. Sweet kind of vermouth.

Italic  —adj. 1 a of the sloping kind of letters now used esp. For emphasis and in foreign words. B (of handwriting) compact and pointed like early italian handwriting. 2 (italic) of ancient italy. —n. 1 letter in italic type. 2 this type. [latin italicus: related to *italian]

Italicize  v. (also -ise) (-zing or -sing) print in italics.

Itch  —n. 1 irritation in the skin. 2 impatient desire. 3 (prec. By the) (in general use) scabies. —v. 1 feel an irritation in the skin. 2 feel a desire to do something (itching to tell you). [old english]

Itching palm  n. Avarice.

Itchy  adj. (-ier, -iest) having or causing an itch.  have itchy feet colloq. 1 be restless. 2 have a strong urge to travel.  itchiness n.

It'd  contr. Colloq. 1 it had. 2 it would.

-ite  suffix forming nouns meaning ‘a person or thing connected with’ (israelite; trotskyite; graphite; dynamite). [greek -ites]

Item  n. 1 any of a number of enumerated things. 2 separate or distinct piece of news etc. [latin, = in like manner]

Itemize  v. (also -ise) (-zing or -sing) state item by item.  itemization n.

Iterate  v. (-ting) repeat; state repeatedly.  iteration n. Iterative adj. [latin iterum again]

-itic  suffix forming adjectives and nouns corresponding to nouns in -ite, -itis, etc. (semitic; arthritic). [latin -iticus, greek -itikos]

Itinerant  —adj. Travelling from place to place. —n. Itinerant person. [latin iter itiner- journey]

Itinerary  n. (pl. -ies) 1 detailed route. 2 record of travel. 3 guidebook.

-itis  suffix forming nouns, esp.: 1 names of inflammatory diseases (appendicitis). 2 colloq. With ref. To conditions compared to diseases (electionitis). [greek]

It'll  contr. Colloq. It will; it shall.

Its  poss. Pron. Of it; of itself.

It's  contr. 1 it is. 2 it has.

Itself  pron. Emphatic and refl. Form of *it.  be itself see *oneself. By itself see by oneself. In itself viewed in its essential qualities (not in itself a bad thing). [old english: related to *it, *self]

Itv  abbr. Independent television.

-ity  suffix forming nouns denoting: 1 quality or condition (humility; purity). 2 instance of this (monstrosity). [latin -itas]

Iud  abbr. Intrauterine (contraceptive) device.

I've  contr. I have.

-ive  suffix forming adjectives meaning ‘tending to’, and corresponding nouns (suggestive; corrosive; palliative). [latin -ivus]

Ivf  abbr. In vitro fertilization.

Ivory  n. (pl. -ies) 1 hard substance of the tusks of an elephant etc. 2 creamy-white colour of this. 3 (usu. In pl.) A article made of ivory. B slang thing made of or resembling ivory, esp. A piano key or a tooth. [latin ebur]

Ivory tower  n. Seclusion or withdrawal from the harsh realities of life (often attrib.: ivory tower professors).
Ivy  n. (pl. -ies) climbing evergreen shrub with shiny five-angled leaves. [old english]

-ize  suffix (also -ise) forming verbs, meaning: 1 make or become such (americanize; realize). 2 treat in such a way (monopolize; pasteurize). 3 a follow a special practice (economize). B have a specified feeling (sympathize).  -ization suffix forming nouns. [greek -izo]

Usage  the form -ize has been in use in english since the 16th c.; it is widely used in american english, but is not an americanism. The alternative spelling -ise (reflecting a french influence) is in common use, esp. In british english, and is obligatory in certain cases: (a) where it forms part of a larger word-element, such as -mise (= sending) in compromise, and -prise (= taking) in surprise; and (b) in verbs corresponding to nouns with -s- in the stem, such as advertise and televise.
