I1  n. (also i) (pl. Is or i's) 1 ninth letter of the alphabet. 2 (as a roman numeral) 1.
Impassive  adj. Incapable of or not showing emotion; serene.  impassively adv. Impassiveness n. Impassivity n.

Impasto  n. Art technique of laying on paint thickly. [italian]

Impatiens  n. Any of several plants including the busy lizzie. [latin: related to *impatient]

Impatient  adj. 1 lacking or showing a lack of patience or tolerance. 2 restlessly eager. 3 (foll. By of) intolerant of.  impatience n. Impatiently adv.

Impeach  v. 1 charge with a crime against the state, esp. Treason. 2 us charge (a public official) with misconduct. 3 call in question, disparage.  impeachable adj. Impeachment n. [french empecher from latin pedica fetter]

Impeccable  adj. Faultless, exemplary.  impeccability n. Impeccably adv. [related to *in-1, latin pecco sin]

Impecunious  adj. Having little or no money.  impecuniosity n. Impecuniousness n. [related to *pecuniary]

Impedance  n. Total effective resistance of an electric circuit etc. To an alternating current. [from *impede]

Usage  impedance is sometimes confused with impediment, which means ‘a hindrance’ or ‘a speech defect’.

Impede  v. (-ding) obstruct; hinder. [latin impedio from pes ped- foot]

Impediment  n. 1 hindrance or obstruction. 2 speech defect, e.g. A stammer. [latin: related to *impede]

Usage  see note at impedance.

Impedimenta  n.pl. 1 encumbrances. 2 baggage, esp. Of an army.

Impel  v. (-ll-) 1 drive, force, or urge. 2 propel. [latin pello drive]

Impend  v. (often foll. By over) 1 (of a danger, event, etc.) Be threatening or imminent. 2 hang.  impending adj. [latin pendeo hang]

Impenetrable  adj. 1 not able to be penetrated. 2 inscrutable. 3 inaccessible to ideas, influences, etc.  impenetrability n. Impenetrableness n. Impenetrably adv.

Impenitent  adj. Not sorry, unrepentant.  impenitence n.

Imperative  —adj. 1 urgent; obligatory. 2 commanding, peremptory. 3 gram. (of a mood) expressing a command (e.g. Come here!). —n. 1 gram. Imperative mood. 2 command. 3 essential or urgent thing. [latin impero command]
Imperceptible  adj. 1 not perceptible. 2 very slight, gradual, or subtle.  imperceptibility n. Imperceptibly adv.

Imperfect  —adj. 1 not perfect; faulty, incomplete. 2 gram. (of a tense) denoting action in progress but not completed (e.g. They were singing). —n. Imperfect tense.  imperfectly adv.

Imperfection  n. 1 state of being imperfect. 2 fault, blemish.

Imperial  adj. 1 of or characteristic of an empire or similar sovereign state. 2 a of an emperor. B majestic, august; authoritative. 3 (of non-metric weights and measures) statutory in the uk, esp. Formerly (imperial gallon).  imperially adv. [latin imperium dominion]

Imperialism  n. 1 imperial rule or system. 2 usu. Derog. Policy of dominating other nations by acquiring dependencies etc.  imperialist n. & adj. Imperialistic adj.

Imperil  v. (-ll-; us -l-) endanger.

Imperious  adj. Overbearing, domineering.  imperiously adv. Imperiousness n.

Imperishable  adj. Not able to perish, indestructible.

Impermanent  adj. Not permanent.  impermanence n. Impermanency n.

Impermeable  adj. Not permeable, not allowing fluids to pass through.  impermeability n.

Impermissible  adj. Not allowable.

Impersonal  adj. 1 without personal reference; objective, impartial. 2 without human attributes; cold, unfeeling. 3 gram. A (of a verb) used esp. With it as a subject (e.g. It is snowing). B (of a pronoun) = *indefinite.  impersonality n. Impersonally adv.

Impersonate  v. (-ting) 1 pretend to be (another person), esp. As entertainment or fraud. 2 act (a character).  impersonation n. Impersonator n. [from *in-2, latin *persona]

Impertinent  adj. 1 insolent, disrespectful. 2 esp. Law irrelevant.  impertinence n. Impertinently adv.

Imperturbable  adj. Not excitable; calm.  imperturbability n. Imperturbably adv.

Impervious  adj. (usu. Foll. By to) 1 impermeable. 2 not responsive (to argument etc.).

Impetigo  n. Contagious skin infection forming pimples and sores. [latin impeto assail]

Impetuous  adj. 1 acting or done rashly or with sudden energy. 2 moving forcefully or rapidly.  impetuosity n. Impetuously adv. Impetuousness n. [latin: related to *impetus]

Impetus  n. 1 force with which a body moves. 2 driving force or impulse. [latin impeto assail]

Impiety  n. (pl. -ies) 1 lack of piety or reverence. 2 act etc. Showing this.

Impinge  v. (-ging) (usu. Foll. By on, upon) 1 make an impact or effect. 2 encroach.  impingement n. [latin pango pact- fix]

